name,ring,quadrant,isNew,description  
Splunk,adopt,Tool,FALSE,API log and traffic analysis<br>API log and traffic analysis platform for production and staging Edge environment.
Giggle,adopt,Tool,TRUE,ULFF logs parser/query<br>Giggle is used by Operations for production issue debugging. Developed in Erlang.
Puppet,adopt,Tool,FALSE,Infrastructure configuration management<br>Used for ESP infrastrucre configuration management. Currently puppet modules for EP servers are uploaded on Bitbucket managed by GW team and deployed by Jenkins managed by GW team.
old_ops_stubs,hold,Tool,FALSE,Stubs for legacy APIs and functional test<br>A Node.js based stubbing solution developed in-house by EP operations team. It is used for API backend mocking purposes during functional test.
Wiremock,adopt,Tool,FALSE,"Stubs for backend in L&P testing<br>API mocking solution used during performance test. The mock responses are provided to Operations via JIRA tasks for setup. Mock responses are not centrally managed.A key driver for architectures based on microservices is independent evolvability of services. For example, when two services depend on each other, the testing process for one usually involves stubs and mocks for the other one. These can be written by hand, but as with mocking in unit tests, a framework helps developers focus on the actual test scenario. We have known of WireMock for a while but we’ve preferred running tests with mountebank. Over the past year, though, WireMock has really caught up and we now recommend it as a good alternative."
Swagger UI,adopt,Tool,FALSE,Browser for API specifications<br>API specification browser to view and validate the swagger json/yaml structure. Swagger specifications are centrally managed with Bitbucket.
Swagger Editor,adopt,Tool,FALSE,Editor for API specifications<br>Web based API specfication editor for swagger API specifications. Swagger specifications are centrally managed with Bitbucket.
ansible,trial,Tool,FALSE,For automating individual operations tasks<br>Used by operations team members to automate infrastructure operational tasks. Not centrally managed.
iTop,assess,Tool,FALSE,For CMDB<br>Used by operations for configuration management database for ESP servers and services.
Slack,adopt,Tool,FALSE,team collaboration and communication<br>Used for team collaboration and communication. Currenly used by only Scrum-F.
boto3,trial,Languages & Frameworks,FALSE,"aws python SDK<br>Boto is the Amazon Web Services (AWS) SDK for Python, which allows Python developers to write software that makes use of Amazon services like S3 and EC2. Used with python troposphere and cloud provisioing."
python troposphere,assess,Languages & Frameworks,FALSE,python library to transform python scripts into cloud formation json templates<br>Python librabry to develop and transform py scripts to cloud formation json templates. Currently source is managed in AWS code-commit.
Chef DK,assess,Languages & Frameworks,FALSE,Chef Development Kit for AWS opsworks<br>Used for development of AWS OpsWorks Chef recipes. Currently source is managed in AWS code-commit.
Neo4j,adopt,Tool,FALSE,Graph database management system<br>Used by Architects to create Hypermedia Model View
Eclipse,adopt,Tool,FALSE,"Java Integrated Development Environment<br>A complete Java IDE used by developers and QA Other alternate tool used are Netbeans"Notepad++,adopt,Tool,FALSE,"Source code editor<br>Used for editing source/configuration files. Some other usecase with extra plugin JSON Validator XML Validator File Compare Other alternate tool used are Atom Editor VS Code"Visual Diff tools,adopt,Tool,FALSE,"Directory and file compare<br>Used for comparing source/configuration files Other alternate tool used are Winmerge Kdiff3 Beyond Compare Meld"Postman,adopt,Tool,FALSE,"REST client and API Development Environment<br>Used as API client for trace and debugging Other alternate tool used are Curl"ESLint,adopt,Tool,FALSE,JavaScript code analysis<br>Used to analyse Javascript code quality. This can be used as Plugin to Eclipse IDE or CLIJasmine,adopt,Tool,FALSE,JavaScript unit tests<br>Used to unit test Javascript codeIstanbul,adopt,Tool,FALSE,"Code coverage analysis<br>Measure Javascript unit test code coverage of lines, functions, branches and statements."OpenAPI2Apix,assess,Tool,TRUE,Make API from swagger<br>Generate a deployable API proxy directly from the swagger along with proper definitions for KVMs etc.SwaggerCheck,trial,Tool,FALSE,Check yaml for completeness<br>Perform additional checks on swagger files if the suit our guidelinesCitrix,hold,Platforms,FALSE,Accessing Vodafone Services without VPN<br>Citrix is used to access Vodafone service which are not accessible over internet or IPSec.Scrum,adopt,Techniques,FALSE,Methodology that enables flexibility in prioritization and focus on quick deliverables that can be used by customersAPIGee,adopt,Platforms,FALSE,API Management PlatformDrupal,trial,Platforms,FALSE,CMSRubi On Rails,trial,Platforms,TRUE,Platform that enables fast development of websitesScrumban,trial,Techniques,TRUE,"Scrumban is an Agile management methodology describing hybrids of Scrum and Kanban and was originally designed as a way to transition from Scrum to Kanban. Today, Scrumban is a management framework that emerges when teams employ Scrum as their chosen way of working and use the Kanban Method as a lens through which to view, understand and continuously improve how they work."CI/CD Pipeline,trial,Techniques,FALSE,"The use of continuous delivery pipelines to orchestrate the release process for software has become a mainstream concept. However, automatically testing changes to infrastructure code isn’t as widely understood. Continuous integration (CI) and continuous delivery (CD) tools can be used to test server configuration (e.g., Chef cookbooks, Puppet modules, Ansible playbooks), server image building (e.g., Packer), environment provisioning (e.g., Terraform, CloudFormation) and integration of environments. The use of pipelines for infrastructure as code enables errors to be found before changes are applied to operational environments — including environments used for development and testing. They also offer a way to ensure that infrastructure tooling is run consistently, from CI/CD agents, as opposed to being run from individual workstations. Some challenges remain, however, such as the longer feedback loops associated with standing up containers and virtual machines. Still, we've found this to be a valuable technique."Graph QL,assess,Techniques,TRUE,"One pattern that comes up again and again when building microservice-style architectures is how to handle the aggregation of many resources server-side. In recent years, we've seen the emergence of a number of patterns such as Backend for Frontend (BFF) and tools such as Falcor to address this. Our teams have started using GraphQL for server-side resource aggregation instead. This differs from the usual mode of using GraphQL where clients directly query a GraphQL server. When using this technique, the services continue to expose RESTful APIs but under-the-hood aggregate services use GraphQL resolvers as the implementation for stitching resources from other services. This technique simplifies the internal implementation of aggregate services or BFFs by using GraphQL."Hypermedia,adopt,Techniques,FALSE,"Pattern that enables navigation of clients over REST resources. Clients are not required to know the details of the interface they will access as this is provided at runtime."ULFF,assess,Techniques,FALSE,"One problem with observability in a highly distributed microservices architecture is the choice between logging everything — and taking up huge amounts of storage space — or randomly sampling logs and potentially missing important events. Recently, we’ve noticed a technique that offers a compromise between these two solutions. Set the log level per request via a parameter passed in through the tracing header. Using a tracing framework, possibly based on the OpenTracing standard, you can pass a correlation id from service to service in a single transaction. You can even inject other data, such as the desired log level, at the initiating transaction and pass it along with the tracing information. This ensures that the additional data collected corresponds to a single user transaction as it flows through the system. This is also a useful technique for debugging, since services might be paused or otherwise modified on a transaction-by-transaction basis."Java,adopt,Platforms,FALSE,Platform where APIGee runtime is executedKubernetes,adopt,Platforms,FALSE,"Since we last mentioned Kubernetes in the Radar, it has become the default solution for most of our clients when deploying containers into a cluster of machines. The alternatives didn’t capture as much mindshare, and in some cases our clients are even changing their ‘engine’ to Kubernetes. Kubernetes has become the container orchestration platform of choice for major public cloud platforms, including Microsoft's Azure Container Service and Google Cloud (see the GKE blip). And there are many useful products enriching the fast-growing Kubernetes ecosystem. Platforms that try to hide Kubernetes under an abstraction layer, however, have yet to prove themselves."AWS,trial,Platforms,FALSE,AWS is the major cloud provider in the industry. Frequent updates and new services make them the top vendor for cloud servicesPhantom.js,assess,Languages & Frameworks,FALSE,PhantomJS is a headless WebKit scriptable with a JavaScript API - Dev Portal<br>Used as headless web driver for selenium test runs for Dev Portalboto3,trial,Languages & Frameworks,FALSE,"aws python SDK<br>Boto is the Amazon Web Services (AWS) SDK for Python, which allows Python developers to write software that makes use of Amazon services like S3 and EC2. Used with python troposphere and cloud provisioing."Puppet,adopt,Tool,FALSE,Infrastructure configuration management<br/>Used for ESP infrastrucre configuration management. Currently puppet modules for EP servers are uploaded on Bitbucket managed by GW team and deployed by Jenkins managed by GW team.
Istio,adopt,frameworks,TRUE,"We should use it as sidecar container framework"
